City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,dicabisagan,17.08,122.42,81.99,60,64,5.91,PH,1615093332
158,pyatnitskoye,50.42,37.83,25.3,88,78,13.69,RU,1615093333
159,paamiut,61.99,-49.67,31.68,99,100,7.27,GL,1615093333
160,nichinan,31.6,131.37,51.8,76,75,8.05,JP,1615093334
161,xichang,27.9,102.26,50.94,69,98,3.0,CN,1615093335
162,placido de castro,-10.34,-67.19,72.93,97,99,1.12,BR,1615093335
163,westport,41.14,-73.36,28.4,46,90,4.61,US,1615093336
164,te anau,-45.42,167.72,53.73,48,12,8.77,NZ,1615093261
165,necochea,-38.55,-58.74,63.0,72,2,10.0,AR,1615093337
166,sorland,67.67,12.69,36.5,77,81,29.48,NO,1615093221
167,yellowknife,62.46,-114.35,12.2,85,90,10.36,CA,1615093211
168,fuerte olimpo,-21.04,-57.87,72.25,77,0,2.73,PY,1615093338
169,portland,45.52,-122.68,46.4,66,1,4.61,US,1615092750
170,castro,-24.79,-50.01,60.31,97,14,3.83,BR,1615093099
171,asau,46.43,26.4,26.01,55,0,5.53,RO,1615093340
172,bathsheba,13.22,-59.52,77.0,73,40,21.85,BB,1615093341
173,verkhnechusovskiye gorodki,58.17,57.11,-11.2,77,40,2.24,RU,1615093341
174,santa rosa,14.31,121.11,89.6,51,20,9.22,PH,1615093284
175,pozo colorado,-23.49,-58.8,71.58,67,0,2.77,PY,1615093342
176,berdigestyakh,62.1,126.7,1.11,91,90,4.09,RU,1615093343
177,beringovskiy,63.05,179.32,-10.66,90,100,9.15,RU,1615093343
178,mayo,38.89,-76.51,35.6,55,1,5.75,US,1615093152
179,turkan,40.36,50.22,50.0,71,0,32.21,AZ,1615093345
180,shipitsyno,61.28,46.52,-1.93,92,56,6.24,RU,1615093346
181,inuvik,68.35,-133.72,-4.0,77,100,11.5,CA,1615093347
182,sambava,-14.27,50.17,79.09,64,100,3.22,MG,1615093225
183,rio gallegos,-51.62,-69.22,48.2,61,0,5.75,AR,1615093193
184,saryg-sep,51.5,95.6,24.15,92,79,1.54,RU,1615093348
185,honiara,-9.43,159.95,81.54,77,100,2.86,SB,1615093349
186,kodiak,57.79,-152.41,30.2,37,1,18.41,US,1615093156
187,colesberg,-30.72,25.1,60.22,55,0,0.36,ZA,1615093350
188,black river,18.03,-77.85,75.2,83,40,4.61,JM,1615093350
189,roald,62.58,6.13,34.0,59,40,13.8,NO,1615093351
190,anchorage,61.22,-149.9,24.8,74,20,1.01,US,1615093201
191,masindi,1.67,31.72,70.27,70,55,2.42,UG,1615093352
192,villa san giovanni,38.23,15.64,55.0,62,20,2.3,IT,1615093354
193,galbshtadt,53.23,78.98,19.74,93,100,3.2,RU,1615093356
194,banikoara,11.3,2.44,75.25,20,38,3.13,BJ,1615093356
195,ahualulco,22.4,-101.17,48.2,57,1,10.36,MX,1615093357
196,zhanaozen,43.3,52.8,41.29,82,100,16.55,KZ,1615093357
197,omboue,-1.57,9.26,76.89,76,97,6.02,GA,1615093358
198,tiksi,71.69,128.87,-15.74,86,100,8.77,RU,1615093155
199,pangnirtung,66.15,-65.71,-2.79,84,97,2.19,CA,1615093359
200,tasiilaq,65.61,-37.64,28.4,86,90,23.02,GL,1615093194
201,zvishavane,-20.33,30.07,63.12,90,0,0.94,ZW,1615093361
202,tiarei,-17.53,-149.33,82.4,74,40,6.91,PF,1615093361
203,flin flon,54.77,-101.86,32.2,98,100,4.76,CA,1615093210
204,cape coast,5.11,-1.25,79.2,88,94,10.33,GH,1615093362
205,hithadhoo,-0.6,73.08,83.79,77,61,11.12,MV,1615093194
206,ahipara,-35.17,173.17,67.35,63,1,16.02,NZ,1615093188
207,elizabeth city,36.29,-76.25,39.2,75,1,4.61,US,1615093282
208,grand gaube,-20.01,57.66,80.01,84,100,5.99,MU,1615093364
209,kruisfontein,-34.0,24.73,66.99,80,1,1.01,ZA,1615093365
210,kushmurun,52.45,64.63,27.82,98,100,15.7,KZ,1615093365
211,salalah,17.02,54.09,75.2,64,0,1.14,OM,1615093221
212,puerto escondido,15.85,-97.07,76.89,69,0,6.11,MX,1615093137
213,egvekinot,66.32,-179.17,-27.54,87,30,1.81,RU,1615093191
214,najran,17.49,44.13,55.4,44,27,4.97,SA,1615093324
